za_nr;version;doi;lfd;gewicht;q1;q2;q3;q4;q5;q6;q7;q8;q9;q9_00;q9_01;q9_02;q9_03;q9_04;q9_05;q9_06;q9_07;q9_99;q10;q11;q11_00;q11_01;q11_02;q11_03;q11_04;q11_05;q11_06;q11_07;q11_08;q11_09;q11_10;q11_12;q11_13;q11_14;q11_15;q11_16;q11_17;q11_18;q11_19;q11_20;q11_98;q11_99;q12a;q12b;q13;q14a;q14b;q14c;q14d;q14e;q14f;q14g;q14h;q15a;q15b;q15c;q15d;q15e;q16a;q16b;q16c;q16d;q16e;q17;q18;q19;q20;q21;q22;q23;q24;q25a;q25b;q25c;q25d;q25e;q26;q27a;q27b;q27c;q27d;q27e;q27f;q27g;q27aa;q27ab;q27ac;q27ad;q27ae;q27af;q27ag;q27ah;q27ai;q27ak;q28;q29m01;q29m02;q29m03;q30;q31;s1;s2;s3;s4;s4a;s4b;s5;s5a;s5b;s6;s7;s8;gkbik;gkpol;land
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;1;2,2962563396357;wichtiges Thema;weiß nicht;weiß nicht;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;ja, unter gewissen Umständen;... Familie/Verwandte;weiß nicht;stimme überhaupt nicht zu;weiß nicht;stimme eher zu;stimme voll und ganz zu;weiß nicht;stimme eher nicht zu;stimme eher zu;weiß nicht;großes Vertrauen;großes Vertrauen;weiß nicht;weiß nicht;Filter;Filter;Filter;Filter;Filter;gar nicht;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Gesetzlich krankenversichert (auch mitversichert);keine Angabe;Filter;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme eher nicht zu;weiß nicht;stimme überhaupt nicht zu;keine Angabe;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;ja;Filter;Filter;Filter;sehr zufrieden;Mittelschicht;weiblich;83;keine Angabe;nein (auch arbeitslos, Azubi);Filter;im Ruhestand;2;2;0;Verheiratet;keine Angabe;keine Partei / weiß nicht;500000 und mehr Einwohner / Strukturtyp 1;500000 und mehr Einwohner;Bayern
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;2;2,51159096925395;sehr wichtiges Thema;sich nicht wesentlich verändern;gut;Ja;eine Person;In einer Pflegeeinrichtung (auch Krankenhaus, Hospiz);Ja, Pflegestufe beantragt;Pflegestufe 3;05,;Nicht gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;eher gut; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;Filter;... Familie/Verwandte;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;großes Vertrauen;großes Vertrauen;großes Vertrauen;etwas Vertrauen;etwas Vertrauen;eher zufrieden;eher zufrieden;eher zufrieden;eher zufrieden;eher zufrieden;gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Gesetzlich krankenversichert (auch mitversichert);ja;Filter;A: Die GPV sollte möglichst umfassend absichern;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme überhaupt nicht zu;stimme eher zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher unzufrieden;untere Mittelschicht;männlich;63;Hauptschule mit Lehre;nein (auch arbeitslos, Azubi);Filter;im Ruhestand;3;3;0;Verheiratet;von 2.500 bis unter 3.000 Euro;keine Partei / weiß nicht;20000 bis unter 50000 Einwohner;5000 bis unter 20000 Einwohner;Bayern
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;3;3,04509471135066;sehr wichtiges Thema;gewinnen;sehr gut;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;nein;... Familie/Verwandte;stimme überhaupt nicht zu;stimme eher zu;weiß nicht;weiß nicht;weiß nicht;stimme eher zu;stimme eher zu;stimme eher zu;etwas Vertrauen;weiß nicht;etwas Vertrauen;etwas Vertrauen;großes Vertrauen;Filter;Filter;Filter;Filter;Filter;nicht so gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;nein;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;weiß nicht;richtig;stimme eher zu;weiß nicht;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;weiß nicht;weiß nicht;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;weiß nicht/kein Urteil;Filter;Filter;Filter;weiß nicht / kein Urteil;Mittelschicht;männlich;88;Hauptschule mit Lehre;nein (auch arbeitslos, Azubi);Filter;im Ruhestand;3;3;0;Verwitwet;von 3.500 bis unter 4.000 Euro;keine Partei / weiß nicht;100000 bis unter 500000 Einwohner / Strukturtyp 2/3;2000 bis unter 5000 Einwohner;Bayern
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;4;,791107486896951;sehr wichtiges Thema;sich nicht wesentlich verändern;gut;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;ja, unter gewissen Umständen;kann ich nicht beurteilen/ weiß (noch) nicht;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme eher zu;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;kein Vertrauen;etwas Vertrauen;Filter;Filter;Filter;Filter;Filter;nicht so gut;eher gute Sache;Ja, ist gerecht;Nein, ist nicht gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;ja;A: Die GPV sollte möglichst umfassend absichern;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme überhaupt nicht zu;stimme eher nicht zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher unzufrieden;Mittelschicht;weiblich;58;Mittlere Reife;ja;einfache(r) oder mittlere(r) Angestellte(r)/ Beamte(r);Filter;2;2;0;Verheiratet;keine Angabe;keine Partei / weiß nicht;500000 und mehr Einwohner / Strukturtyp 1;500000 und mehr Einwohner;Hessen
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;5;2,10269605168325;sehr wichtiges Thema;gewinnen;gut;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;ja, auf alle Fälle;... einen (ambulanten) Pflegedienst;stimme eher zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;großes Vertrauen;großes Vertrauen;großes Vertrauen;kein Vertrauen;großes Vertrauen;Filter;Filter;Filter;Filter;Filter;sehr gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;nein;B: Die GPV sollte nur das medizinisch Notwendige absichern;stimme voll und ganz zu;stimme eher zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;richtig;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher zufrieden;Mittelschicht;weiblich;65;Hauptschule mit Lehre;keine Angabe;Filter;Filter;2;2;0;Verheiratet;von 1.500 bis unter 2.000 Euro;Bündnis '90 / Die Grünen;5000 bis unter 20000 Einwohner;5000 bis unter 20000 Einwohner;Baden-Württemberg
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;6;,281433652153207;sehr wichtiges Thema;gewinnen;weniger gut;Ja;eine Person;In deren eigenem Haushalt;Nein, war nicht erforderlich;Filter;04,;Nicht gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;eher schlecht;13,;Nicht gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;Filter;... ein Pflegeheim;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;teils /teils;teils /teils;eher zufrieden;teils /teils;teils /teils;sehr gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Privat krankenversichert;nein;nein;A: Die GPV sollte möglichst umfassend absichern;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher zufrieden;Mittelschicht;weiblich;72;Studium;nein (auch arbeitslos, Azubi);Filter;im Ruhestand;2;2;0;Verheiratet;von 3.000 bis unter 3.500 Euro;SPD;500000 und mehr Einwohner / Strukturtyp 1;500000 und mehr Einwohner;Berlin
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;7;1,37917737502284;sehr wichtiges Thema;gewinnen;weniger gut;Ja;mehrere Personen;In deren eigenem Haushalt;Ja, Pflegestufe beantragt;Pflegestufe 2;01,;Nicht gefiltert;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;eher gut; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;ja, auf alle Fälle;Filter;... einen (ambulanten) Pflegedienst;stimme eher nicht zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme überhaupt nicht zu;großes Vertrauen;großes Vertrauen;großes Vertrauen;weiß nicht;großes Vertrauen;eher zufrieden;eher zufrieden;eher zufrieden;keine Bewertung möglich;eher zufrieden;gut;eher gute Sache;Ja, ist gerecht;Nein, ist nicht gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;nein;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme überhaupt nicht zu;stimme voll und ganz zu;richtig;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Allg. mehr Unterstützung durch Pflegedienst;Filter;Filter;eher unzufrieden;Mittelschicht;weiblich;63;Hauptschule mit Lehre;ja;einfache(r) oder mittlere(r) Angestellte(r)/ Beamte(r);Filter;2;2;0;Verheiratet;von 1.500 bis unter 2.000 Euro;keine Partei / weiß nicht;500000 und mehr Einwohner / Strukturtyp 1;5000 bis unter 20000 Einwohner;Bayern
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;8;,812714499742751;sehr wichtiges Thema;gewinnen;gut;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;nein;... eine eigene Pflegekraft;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme überhaupt nicht zu;großes Vertrauen;etwas Vertrauen;großes Vertrauen;kein Vertrauen;etwas Vertrauen;Filter;Filter;Filter;Filter;Filter;gut;eher gute Sache;Nein, ist nicht gerecht;Ja, ist gerecht;Gesetzlich krankenversichert (auch mitversichert);ja;Filter;B: Die GPV sollte nur das medizinisch Notwendige absichern;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;ja;Filter;Filter;Filter;eher unzufrieden;Arbeiterschicht;weiblich;52;Mittlere Reife;ja;höhere(r) Angestellte(r)/ Beamte(r);Filter;1;1;0;Verwitwet;von 1.250 bis unter 1.500 Euro;CDU/CSU;500000 und mehr Einwohner / Strukturtyp 1;500000 und mehr Einwohner;Berlin
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;9;,941345987685208;sehr wichtiges Thema;gewinnen;weiß nicht;Ja;eine Person;In deren eigenem Haushalt;Ja, Pflegestufe beantragt;Pflegestufe 2;02,;Nicht gefiltert;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;eher gut; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;Filter;... einen (ambulanten) Pflegedienst;stimme eher zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;großes Vertrauen;etwas Vertrauen;weiß nicht;großes Vertrauen;kein Vertrauen;weiß nicht;weiß nicht;weiß nicht;weiß nicht;eher zufrieden;gar nicht;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Privat krankenversichert;nein;ja;B: Die GPV sollte nur das medizinisch Notwendige absichern;stimme eher nicht zu;stimme eher zu;stimme überhaupt nicht zu;stimme eher zu;stimme eher zu;richtig;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme eher zu;weiß nicht;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;weiß nicht;weiß nicht;weiß nicht/kein Urteil;Filter;Filter;Filter;eher unzufrieden;obere Mittelschicht;männlich;60;Studium;ja;Selbstständige(r);Filter;4;4;0;Verheiratet;4.000 Euro und mehr;FDP;20000 bis unter 50000 Einwohner;20000 bis unter 50000 Einwohner;Nordrhein-Westfalen
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;10;,495797076066606;sehr wichtiges Thema;gewinnen;gut;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;ja, unter gewissen Umständen;... eine eigene Pflegekraft;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;kein Vertrauen;kein Vertrauen;Filter;Filter;Filter;Filter;Filter;gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Privat krankenversichert;nein;ja;A: Die GPV sollte möglichst umfassend absichern;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme überhaupt nicht zu;stimme voll und ganz zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme voll und ganz zu;keine Angabe;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;ja;Filter;Filter;Filter;eher unzufrieden;obere Mittelschicht;männlich;68;Studium;nein (auch arbeitslos, Azubi);Filter;im Ruhestand;2;2;0;Verheiratet;4.000 Euro und mehr;Bündnis '90 / Die Grünen;5000 bis unter 20000 Einwohner;unter 2000 Einwohner;Rheinland-Pfalz
